/A0 (Design_Point=1) X,/A0 (Design_Point=1) Y,/A1 (Design_Point=1) X,/A1 (Design_Point=1) Y,/Data_In_1 (Design_Point=1) X,/Data_In_1 (Design_Point=1) Y,/Data_In_2 (Design_Point=1) X,/Data_In_2 (Design_Point=1) Y,/Data_In_3 (Design_Point=1) X,/Data_In_3 (Design_Point=1) Y,/Data_In_4 (Design_Point=1) X,/Data_In_4 (Design_Point=1) Y,/EN (Design_Point=1) X,/EN (Design_Point=1) Y,/SAE (Design_Point=1) X,/SAE (Design_Point=1) Y,/WE (Design_Point=1) X,/WE (Design_Point=1) Y,/OA_Charge (Design_Point=1) X,/OA_Charge (Design_Point=1) Y,/IA_AnalogR1 (Design_Point=1) X,/IA_AnalogR1 (Design_Point=1) Y,/IA_AnalogR2 (Design_Point=1) X,/IA_AnalogR2 (Design_Point=1) Y,/IA_AnalogR3 (Design_Point=1) X,/IA_AnalogR3 (Design_Point=1) Y,/IA_AnalogR4 (Design_Point=1) X,/IA_AnalogR4 (Design_Point=1) Y,/Read_Out_1 (Design_Point=1) X,/Read_Out_1 (Design_Point=1) Y,/Read_Out_2 (Design_Point=1) X,/Read_Out_2 (Design_Point=1) Y,/Read_Out_3 (Design_Point=1) X,/Read_Out_3 (Design_Point=1) Y,/Read_Out_4 (Design_Point=1) X,/Read_Out_4 (Design_Point=1) Y
5.007781837724059e-08,0.8560021245154091,5.007781837724059e-08,-6.027642599069144e-09,5.007781837724059e-08,1.099999999999075,5.007781837724059e-08,1.099999999999076,5.007781837724059e-08,1.099999999999075,5.007781837724059e-08,1.099999999999075,5.007781837724059e-08,1.100000000173524,5.007781837724059e-08,2.100474215768455e-11,5.007781837724059e-08,1.100000000011276,5.007781837724059e-08,2.246954059606851e-07,5.007781837724059e-08,-3.293936601470104e-12,5.007781837724059e-08,8.795080378204642e-12,5.007781837724059e-08,4.63355863676982e-12,5.007781837724059e-08,3.936674737817416e-12,5.007781837724059e-08,1.099809010080554,5.007781837724059e-08,1.099810045780344,5.007781837724059e-08,1.099810181733236,5.007781837724059e-08,1.099809781681971
5.008890918862029e-08,0.9780010502779497,5.008890918862029e-08,2.660385286936042e-09,5.008890918862029e-08,1.099999999999056,5.008890918862029e-08,1.099999999999054,5.008890918862029e-08,1.099999999999055,5.008890918862029e-08,1.099999999999061,5.008890918862029e-08,1.100000002701206,5.008890918862029e-08,3.994722586157476e-13,5.008890918862029e-08,1.099999999989299,5.008890918862029e-08,1.933107556225014e-08,5.008890918862029e-08,-1.193917602517441e-11,5.008890918862029e-08,-3.034022703726785e-12,5.008890918862029e-08,2.610247775688163e-12,5.008890918862029e-08,1.927289224097058e-12,5.008890918862029e-08,1.099808889673417,5.008890918862029e-08,1.099810075089757,5.008890918862029e-08,1.099810270983765,5.008890918862029e-08,1.0998098798873
5.009445459431015e-08,1.039000517394589,5.009445459431015e-08,4.353862319115177e-09,5.009445459431015e-08,1.099999999998937,5.009445459431015e-08,1.099999999998891,5.009445459431015e-08,1.099999999998901,5.009445459431015e-08,1.099999999998931,5.009445459431015e-08,1.10000000354559,5.009445459431015e-08,-2.205495966007214e-10,5.009445459431015e-08,1.099999999777896,5.009445459431015e-08,-4.290665393551132e-06,5.009445459431015e-08,-1.289107335290654e-10,5.009445459431015e-08,-8.648785915827638e-11,5.009445459431015e-08,-2.016386064189526e-11,5.009445459431015e-08,-1.331351486115593e-11,5.009445459431015e-08,1.099797491832331,5.009445459431015e-08,1.099798010337294,5.009445459431015e-08,1.099799127165961,5.009445459431015e-08,1.099801582047792
5.01e-08,1.099999979714322,5.01e-08,7.258129016259784e-09,5.01e-08,1.099999999999022,5.01e-08,1.099999999998913,5.01e-08,1.099999999998934,5.01e-08,1.099999999998907,5.01e-08,1.100000002188275,5.01e-08,-6.315918900765795e-10,5.01e-08,1.099999999456475,5.01e-08,-1.476219431875734e-05,5.01e-08,-2.414503618604725e-10,5.01e-08,-1.625120346316709e-10,5.01e-08,-4.309782424267927e-11,5.01e-08,-2.554833861605487e-11,5.01e-08,1.099766500147751,5.01e-08,1.09976533952387,5.01e-08,1.099768654993792,5.01e-08,1.09977900465426
5.010301280856777e-08,1.099999997516832,5.010301280856777e-08,5.648222404762383e-09,5.010301280856777e-08,1.09999999999906,5.010301280856777e-08,1.099999999998902,5.010301280856777e-08,1.099999999998936,5.010301280856777e-08,1.099999999998797,5.010301280856777e-08,1.100000000600521,5.010301280856777e-08,-8.140466174930994e-10,5.010301280856777e-08,1.099999999351198,5.010301280856777e-08,-2.17948953002641e-05,5.010301280856777e-08,-2.702283495141454e-10,5.010301280856777e-08,-1.806302370763624e-10,5.010301280856777e-08,-5.187810727303821e-11,5.010301280856777e-08,-2.833399725189153e-11,5.010301280856777e-08,1.099741757332439,5.010301280856777e-08,1.099739371174014,5.010301280856777e-08,1.099744212771363,5.010301280856777e-08,1.099761108695523
5.010797363245506e-08,1.099999999065373,5.010797363245506e-08,5.204621787836312e-09,5.010797363245506e-08,1.099999999999137,5.010797363245506e-08,1.09999999999904,5.010797363245506e-08,1.099999999999074,5.010797363245506e-08,1.099999999998833,5.010797363245506e-08,1.099999998076351,5.010797363245506e-08,-1.010462861080535e-09,5.010797363245506e-08,1.099999999266043,5.010797363245506e-08,-3.222036473323403e-05,5.010797363245506e-08,-2.84033221502686e-10,5.010797363245506e-08,-1.890406405853295e-10,5.010797363245506e-08,-5.280079774741939e-11,5.010797363245506e-08,-2.795793623619392e-11,5.010797363245506e-08,1.099700459916955,5.010797363245506e-08,1.099696302862047,5.010797363245506e-08,1.099703326921369,5.010797363245506e-08,1.0997312791598
5.011286494722901e-08,1.099999998926689,5.011286494722901e-08,4.587349656693282e-09,5.011286494722901e-08,1.09999999999921,5.011286494722901e-08,1.099999999999179,5.011286494722901e-08,1.099999999999188,5.011286494722901e-08,1.099999999998944,5.011286494722901e-08,1.099999996674163,5.011286494722901e-08,-9.441036535006102e-10,5.011286494722901e-08,1.099999999366836,5.011286494722901e-08,-3.839386166858051e-05,5.011286494722901e-08,-2.529182759672137e-10,5.011286494722901e-08,-1.677959466888366e-10,5.011286494722901e-08,4.350646028404878e-12,5.011286494722901e-08,-1.400792349376603e-11,5.011286494722901e-08,1.0996647646714,5.011286494722901e-08,1.099660088224752,5.011286494722901e-08,1.099667561191296,5.011286494722901e-08,1.09970567585883
5.012163938179511e-08,1.099999999918533,5.012163938179511e-08,2.875897398796228e-09,5.012163938179511e-08,1.099999999999157,5.012163938179511e-08,1.099999999999203,5.012163938179511e-08,1.099999999999208,5.012163938179511e-08,1.099999999998947,5.012163938179511e-08,1.09999999661986,5.012163938179511e-08,-3.040437468459034e-10,5.012163938179511e-08,1.099999999775441,5.012163938179511e-08,-3.542102676205447e-05,5.012163938179511e-08,-1.769227694644937e-10,5.012163938179511e-08,-1.207440397876805e-10,5.012163938179511e-08,1.729152878058461e-10,5.012163938179511e-08,2.078422652002511e-11,5.012163938179511e-08,1.099633641913767,5.012163938179511e-08,1.09963274039043,5.012163938179511e-08,1.099633517905479,5.012163938179511e-08,1.099684739761536
5.012787638981969e-08,1.099999999531214,5.012787638981969e-08,2.130953948738226e-09,5.012787638981969e-08,1.099999999999069,5.012787638981969e-08,1.099999999999185,5.012787638981969e-08,1.099999999999212,5.012787638981969e-08,1.099999999998976,5.012787638981969e-08,1.099999998129302,5.012787638981969e-08,2.16918502966463e-10,5.012787638981969e-08,1.100000000032519,5.012787638981969e-08,-2.54040135588169e-05,5.012787638981969e-08,-1.268909246116533e-10,5.012787638981969e-08,-9.075977070043102e-11,5.012787638981969e-08,2.52319480197089e-10,5.012787638981969e-08,3.490471272229084e-11,5.012787638981969e-08,1.099635933567971,5.012787638981969e-08,1.099639622155098,5.012787638981969e-08,1.099631798859951,5.012787638981969e-08,1.099687795324687
5.013443279013851e-08,1.100000000092528,5.013443279013851e-08,1.761242734207872e-09,5.013443279013851e-08,1.099999999998983,5.013443279013851e-08,1.099999999999079,5.013443279013851e-08,1.09999999999913,5.013443279013851e-08,1.099999999998962,5.013443279013851e-08,1.100000000108959,5.013443279013851e-08,4.174672786652614e-10,5.013443279013851e-08,1.100000000065995,5.013443279013851e-08,-1.488688837990841e-05,5.013443279013851e-08,-1.002877135402175e-10,5.013443279013851e-08,-7.558302868965468e-11,5.013443279013851e-08,2.279416269444149e-10,5.013443279013851e-08,3.089212275526535e-11,5.013443279013851e-08,1.09964595080969,5.013443279013851e-08,1.099652929015736,5.013443279013851e-08,1.099637869545551,5.013443279013851e-08,1.099695850823719
5.014172036459278e-08,1.099999999674486,5.014172036459278e-08,1.234421222327649e-09,5.014172036459278e-08,1.099999999999067,5.014172036459278e-08,1.099999999999107,5.014172036459278e-08,1.09999999999913,5.014172036459278e-08,1.099999999999009,5.014172036459278e-08,1.10000000093471,5.014172036459278e-08,3.843844180952897e-10,5.014172036459278e-08,1.10000000004148,5.014172036459278e-08,-6.33143315146791e-06,5.014172036459278e-08,-6.965241027707499e-11,5.014172036459278e-08,-5.320610019507271e-11,5.014172036459278e-08,2.16434703368822e-10,5.014172036459278e-08,3.072765176445856e-11,5.014172036459278e-08,1.099656898233962,5.014172036459278e-08,1.099665042134243,5.014172036459278e-08,1.099645269898123,5.014172036459278e-08,1.099704010052013
5.014931883537309e-08,1.10000000012027,5.014931883537309e-08,7.253299476273047e-10,5.014931883537309e-08,1.099999999999027,5.014931883537309e-08,1.09999999999902,5.014931883537309e-08,1.099999999999038,5.014931883537309e-08,1.099999999998957,5.014931883537309e-08,1.100000001216339,5.014931883537309e-08,2.910176536612794e-10,5.014931883537309e-08,1.10000000002379,5.014931883537309e-08,-3.337225980529885e-07,5.014931883537309e-08,-4.609460703238927e-11,5.014931883537309e-08,-3.665756343325107e-11,5.014931883537309e-08,1.728756545216906e-10,5.014931883537309e-08,2.529193824464655e-11,5.014931883537309e-08,1.099666758432253,5.014931883537309e-08,1.099674506514301,5.014931883537309e-08,1.099652106731323,5.014931883537309e-08,1.099711337138199
5.015840092133021e-08,1.099999999737085,5.015840092133021e-08,3.975478838036072e-10,5.015840092133021e-08,1.099999999999107,5.015840092133021e-08,1.099999999999122,5.015840092133021e-08,1.099999999999119,5.015840092133021e-08,1.099999999999052,5.015840092133021e-08,1.100000001274071,5.015840092133021e-08,2.318896448534328e-10,5.015840092133021e-08,1.100000000047939,5.015840092133021e-08,4.827230769476426e-06,5.015840092133021e-08,-3.271005974794393e-12,5.015840092133021e-08,-5.567011005485438e-12,5.015840092133021e-08,1.576360133696895e-10,5.015840092133021e-08,2.603268840340876e-11,5.015840092133021e-08,1.099679727655791,5.015840092133021e-08,1.099686409593904,5.015840092133021e-08,1.09966209177914,5.015840092133021e-08,1.099721167281464
