"/OA_Charge (umc_mc_d_c1_vp=-0.067,umc_mc_d_cox_vp=-0.067) X","/OA_Charge (umc_mc_d_c1_vp=-0.067,umc_mc_d_cox_vp=-0.067) Y","/OA_Charge (umc_mc_d_c1_vp=-0.067,umc_mc_d_cox_vp=0) X","/OA_Charge (umc_mc_d_c1_vp=-0.067,umc_mc_d_cox_vp=0) Y","/OA_Charge (umc_mc_d_c1_vp=-0.067,umc_mc_d_cox_vp=0.067) X","/OA_Charge (umc_mc_d_c1_vp=-0.067,umc_mc_d_cox_vp=0.067) Y","/OA_Charge (umc_mc_d_c1_vp=0,umc_mc_d_cox_vp=-0.067) X","/OA_Charge (umc_mc_d_c1_vp=0,umc_mc_d_cox_vp=-0.067) Y","/OA_Charge (umc_mc_d_c1_vp=0,umc_mc_d_cox_vp=0) X","/OA_Charge (umc_mc_d_c1_vp=0,umc_mc_d_cox_vp=0) Y","/OA_Charge (umc_mc_d_c1_vp=0,umc_mc_d_cox_vp=0.067) X","/OA_Charge (umc_mc_d_c1_vp=0,umc_mc_d_cox_vp=0.067) Y","/OA_Charge (umc_mc_d_c1_vp=0.067,umc_mc_d_cox_vp=-0.067) X","/OA_Charge (umc_mc_d_c1_vp=0.067,umc_mc_d_cox_vp=-0.067) Y","/OA_Charge (umc_mc_d_c1_vp=0.067,umc_mc_d_cox_vp=0) X","/OA_Charge (umc_mc_d_c1_vp=0.067,umc_mc_d_cox_vp=0) Y","/OA_Charge (umc_mc_d_c1_vp=0.067,umc_mc_d_cox_vp=0.067) X","/OA_Charge (umc_mc_d_c1_vp=0.067,umc_mc_d_cox_vp=0.067) Y"
5.010301280856971e-08,-2.189024718338902e-05,5.010301280856971e-08,-2.18895920930807e-05,5.01030128085697e-08,-2.188893704061378e-05,5.010301280856777e-08,-2.179553747961204e-05,5.010301280856777e-08,-2.17948953002641e-05,5.010301280856776e-08,-2.179425315813731e-05,5.010301280856591e-08,-2.170300301924396e-05,5.01030128085659e-08,-2.170237397839353e-05,5.01030128085659e-08,-2.170174497337981e-05
5.010797363245747e-08,-3.232608451789533e-05,5.010797363245747e-08,-3.23251657309263e-05,5.010797363245745e-08,-3.232424699364871e-05,5.010797363245506e-08,-3.222126696784157e-05,5.010797363245506e-08,-3.222036473323403e-05,5.010797363245505e-08,-3.221946254659826e-05,5.010797363245274e-08,-3.210957006450247e-05,5.010797363245274e-08,-3.210868470982607e-05,5.010797363245274e-08,-3.210779940271392e-05
5.011286494723198e-08,-3.84632236512819e-05,5.011286494723198e-08,-3.846220532596906e-05,5.011286494723197e-08,-3.846118704976271e-05,5.011286494722901e-08,-3.839486401555828e-05,5.011286494722901e-08,-3.839386166858051e-05,5.011286494722901e-08,-3.839285937141142e-05,5.011286494722616e-08,-3.830179622624079e-05,5.011286494722615e-08,-3.830081036948563e-05,5.011286494722615e-08,-3.829982456152239e-05
5.012163938180238e-08,-3.53503212156054e-05,5.012163938180234e-08,-3.534957545423929e-05,5.012163938180237e-08,-3.534882971782826e-05,5.01216393817951e-08,-3.542176608836025e-05,5.012163938179511e-08,-3.542102676205447e-05,5.012163938179511e-08,-3.542028746187089e-05,5.0121639381787e-08,-3.544170999550423e-05,5.012163938178698e-08,-3.544097785744483e-05,5.012163938178703e-08,-3.544024574779841e-05
5.012787638983616e-08,-2.523239062724461e-05,5.012787638983611e-08,-2.523204703188202e-05,5.012787638983614e-08,-2.523170343640174e-05,5.01278763898197e-08,-2.540435943764268e-05,5.012787638981969e-08,-2.54040135588169e-05,5.012787638981968e-08,-2.540366768049797e-05,5.012787638980266e-08,-2.552509955140373e-05,5.012787638980264e-08,-2.552475197110622e-05,5.012787638980267e-08,-2.552440439297134e-05
5.013443279017034e-08,-1.466480973736492e-05,5.013443279017026e-08,-1.4664820428324e-05,5.013443279017029e-08,-1.466483110035454e-05,5.013443279013852e-08,-1.488688515075234e-05,5.013443279013851e-08,-1.488688837990841e-05,5.013443279013849e-08,-1.488689159112351e-05,5.013443279010672e-08,-1.507909841664934e-05,5.013443279010669e-08,-1.507909425050133e-05,5.013443279010674e-08,-1.507909006574581e-05
5.014172036463611e-08,-6.119335494474548e-06,5.014172036463601e-08,-6.119579438170132e-06,5.014172036463604e-08,-6.119823354649612e-06,5.01417203645928e-08,-6.331197394657909e-06,5.014172036459278e-08,-6.33143315146791e-06,5.014172036459275e-08,-6.331668881247569e-06,5.014172036454991e-08,-6.532447477517506e-06,5.014172036454987e-08,-6.532674555169105e-06,5.014172036454991e-08,-6.532901605304909e-06
5.014931883543616e-08,-1.750288016637388e-07,5.014931883543604e-08,-1.753884588155763e-07,5.014931883543606e-08,-1.757480857914927e-07,5.014931883537313e-08,-3.333690071863864e-07,5.014931883537309e-08,-3.337225980529885e-07,5.014931883537305e-08,-3.340761607346152e-07,5.014931883531149e-08,-5.016476463230544e-07,5.014931883531143e-08,-5.019941883822885e-07,5.014931883531147e-08,-5.023407009288119e-07
5.015840092142513e-08,4.903116370495315e-06,5.015840092142498e-08,4.902696154734734e-06,5.0158400921425e-08,4.902275966522535e-06,5.015840092133026e-08,4.827648077048115e-06,5.015840092133021e-08,4.827230769476426e-06,5.015840092133015e-08,4.826813488441594e-06,5.01584009212394e-08,4.728872940797612e-06,5.015840092123932e-08,4.728459829884002e-06,5.015840092123936e-08,4.728046745678249e-06
5.017035078006519e-08,1.054393217627058e-05,5.0170350780065e-08,1.054346598579661e-05,5.017035078006504e-08,1.05429998191187e-05,5.01703507799588e-08,1.057491360443792e-05,5.017035077995875e-08,1.05744475435137e-05,5.017035077995868e-08,1.057398150682448e-05,5.017035077985429e-08,1.056733906914774e-05,5.01703507798542e-08,1.056687453678285e-05,5.017035077985427e-08,1.056641002935779e-05
5.018908817900842e-08,1.695301453762162e-05,5.018908817900818e-08,1.695253800644882e-05,5.018908817900833e-08,1.69520614924093e-05,5.018908817895601e-08,1.713283677599622e-05,5.018908817895597e-08,1.713235823916255e-05,5.018908817895595e-08,1.713187971479362e-05,5.018908817890001e-08,1.726542527250862e-05,5.01890881788999e-08,1.726494584609863e-05,5.01890881789001e-08,1.726446643476174e-05
5.021518370114881e-08,1.835397269370629e-05,5.021518370114829e-08,1.835364144183577e-05,5.021518370114775e-08,1.835331019516954e-05,5.02151837010219e-08,1.867776095359484e-05,5.021518370102202e-08,1.867742655594302e-05,5.021518370102211e-08,1.867709216491326e-05,5.021518370089509e-08,1.895386062772924e-05,5.021518370089473e-08,1.895352354764562e-05,5.021518370089463e-08,1.895318646877324e-05
5.024829318990682e-08,1.045019107602676e-05,5.024829318990616e-08,1.045016396611492e-05,5.024829318990551e-08,1.045013684739667e-05,5.024829318692527e-08,1.079102197374483e-05,5.024829318692494e-08,1.079099265220353e-05,5.024829318692486e-08,1.079096332244139e-05,5.02482931842635e-08,1.110598370410656e-05,5.024829318426302e-08,1.11059518384897e-05,5.024829318426268e-08,1.110591996257921e-05
5.027786171937008e-08,1.887931378990896e-06,5.027786171936937e-08,1.888075567390961e-06,5.027786171936862e-08,1.888219745509873e-06,5.027786171578257e-08,2.104371396385791e-06,5.027786171578233e-08,2.104516385569771e-06,5.027786171578227e-08,2.104661355820455e-06,5.027786171252569e-08,2.315924156333352e-06,5.027786171252517e-08,2.31606927118373e-06,5.02778617125248e-08,2.316214375439952e-06
5.031227877890017e-08,-3.480811310582086e-06,5.031227877889955e-08,-3.480651991225518e-06,5.031227877889895e-08,-3.480492672898937e-06,5.031227877484296e-08,-3.437575814847142e-06,5.031227877484275e-08,-3.437413192694835e-06,5.031227877484283e-08,-3.437250578317086e-06,5.031227877114969e-08,-3.381918349236353e-06,5.031227877114926e-08,-3.381752971734747e-06,5.031227877114907e-08,-3.381587601724355e-06
5.035868632508442e-08,-4.515509032526371e-06,5.035868632508433e-08,-4.515434390167822e-06,5.035868632508421e-08,-4.515359749380095e-06,5.03586863227441e-08,-4.599411477318027e-06,5.035868632274491e-08,-4.599334245850212e-06,5.035868632274598e-08,-4.599257010305133e-06,5.035868632058583e-08,-4.668460139589324e-06,5.03586863205861e-08,-4.668380414412506e-06,5.035868632058664e-08,-4.668300687174974e-06
5.041319293707798e-08,-2.731643223770446e-06,5.041319293707793e-08,-2.731635467004399e-06,5.04131929370775e-08,-2.731627705523316e-06,5.041319293542398e-08,-2.820571445475037e-06,5.041319293542478e-08,-2.820563737283221e-06,5.041319293542613e-08,-2.820556028136672e-06,5.041319293378482e-08,-2.901408249759081e-06,5.041319293378566e-08,-2.901400415892023e-06,5.041319293378609e-08,-2.901392576345722e-06
5.047546540967087e-08,-1.042497497189054e-06,5.04754654096717e-08,-1.042504809209032e-06,5.04754654096729e-08,-1.042512124673268e-06,5.047546540984281e-08,-1.085791430419325e-06,5.047546540984498e-08,-1.085799763331697e-06,5.047546540984733e-08,-1.085808096789351e-06,5.047546540995208e-08,-1.128474402143111e-06,5.047546540995352e-08,-1.128483662490917e-06,5.047546540995579e-08,-1.12849292119303e-06
5.055284774711154e-08,-2.966844177641111e-07,5.055284774711252e-08,-2.966862865086747e-07,5.055284774711445e-08,-2.96688153445174e-07,5.055284774779608e-08,-3.049305512206491e-07,5.055284774779846e-08,-3.049329680288298e-07,5.055284774780206e-08,-3.04935382465264e-07,5.055284774845522e-08,-3.122427948209695e-07,5.055284774845678e-08,-3.122457692539784e-07,5.055284774845923e-08,-3.122487445585102e-07
5.06600855572488e-08,-9.576129517634325e-08,5.066008555725188e-08,-9.576083402341889e-08,5.066008555724925e-08,-9.576037603701634e-08,5.066008555444819e-08,-9.258205509922863e-08,5.066008555445243e-08,-9.258164849719605e-08,5.066008555445368e-08,-9.258124378739697e-08,5.066008555180322e-08,-9.045148267101939e-08,5.066008555180727e-08,-9.045112829020363e-08,5.066008555180843e-08,-9.045076956480131e-08
5.083170524286404e-08,-1.005871151086118e-07,5.083170524285208e-08,-1.005862913318737e-07,5.083170524285375e-08,-1.005854688175468e-07,5.083170523044097e-08,-9.620812230238944e-08,5.08317052304452e-08,-9.62073654139718e-08,5.083170523045357e-08,-9.620660874705851e-08,5.083170522109861e-08,-9.142487652373711e-08,5.083170522110116e-08,-9.142417875382403e-08,5.083170522109957e-08,-9.14234795702e-08
5.113677368144081e-08,-8.71430088088768e-08,5.113677368143271e-08,-8.714255152028819e-08,5.113677368148885e-08,-8.714209680351501e-08,5.113677366140707e-08,-8.248298661638404e-08,5.113677366138498e-08,-8.248258306380762e-08,5.113677366142225e-08,-8.24821801783878e-08,5.113677363271828e-08,-7.902640034388351e-08,5.113677363271794e-08,-7.902604523332583e-08,5.11367736327699e-08,-7.902569049072856e-08
5.17288786257631e-08,-9.997038647740635e-08,5.172887862588507e-08,-9.996955185822249e-08,5.172887862620603e-08,-9.996871367890094e-08,5.172887859625374e-08,-9.536209430937955e-08,5.17288785966613e-08,-9.536132540997418e-08,5.172887859636767e-08,-9.536055487819926e-08,5.172887856062992e-08,-9.035343403327028e-08,5.172887856036576e-08,-9.035272071889039e-08,5.172887856074403e-08,-9.035201387895789e-08
5.257174474317809e-08,-8.243445150366522e-08,5.257174474313583e-08,-8.243403727998039e-08,5.257174474372554e-08,-8.243363127529589e-08,5.257174470247634e-08,-7.799650742560571e-08,5.257174470254875e-08,-7.79961406299414e-08,5.257174470283225e-08,-7.799578417132091e-08,5.257174464756824e-08,-7.474479245654704e-08,5.257174464708133e-08,-7.474447858367178e-08,5.25717446475495e-08,-7.474415844733455e-08
5.383324957757814e-08,-8.778220189612581e-08,5.383324957772673e-08,-8.778145919748365e-08,5.383324957796109e-08,-8.778070490298807e-08,5.383324951449555e-08,-8.376199447425124e-08,5.383324951457686e-08,-8.376130849216461e-08,5.383324951424471e-08,-8.376061635569144e-08,5.383324944012654e-08,-7.928245893232694e-08,5.383324943996903e-08,-7.928182166573359e-08,5.383324944027177e-08,-7.928118867626399e-08
5.570018083953025e-08,-6.09783072483619e-08,5.570018084038768e-08,-6.097805850948738e-08,5.570018084112692e-08,-6.097780821820765e-08,5.570018074283983e-08,-5.75956114079033e-08,5.57001807429969e-08,-5.759538735796866e-08,5.570018074416974e-08,-5.759518034921162e-08,5.570018062110202e-08,-5.53012074316876e-08,5.57001806203777e-08,-5.530102449439442e-08,5.570018062179943e-08,-5.530083923220844e-08
5.861133200230836e-08,-5.619918703417209e-08,5.861133200090975e-08,-5.619868603146776e-08,5.861133200359531e-08,-5.619815972961788e-08,5.861133185497858e-08,-5.373472694700594e-08,5.861133185679757e-08,-5.373425007535683e-08,5.861133185483367e-08,-5.373376710147871e-08,5.861133167360951e-08,-5.066360889161925e-08,5.861133167271237e-08,-5.066315880107e-08,5.861133167328266e-08,-5.066272262380905e-08
6.322056535096249e-08,-1.893653236240293e-08,6.322056534938726e-08,-1.893659114059142e-08,6.322056534904545e-08,-1.893666059173835e-08,6.322056511630333e-08,-1.762801979362204e-08,6.322056512014246e-08,-1.762807713391763e-08,6.322056511775467e-08,-1.762815577835975e-08,6.322056483052776e-08,-1.721342528999404e-08,6.322056483091059e-08,-1.721349596881817e-08,6.322056482949059e-08,-1.721357589545643e-08
7.010586993316102e-08,-7.473966460526229e-09,7.010586994052288e-08,-7.473826142994139e-09,7.010586994712595e-08,-7.47366918703745e-09,7.010586958770993e-08,-7.412587968395357e-09,7.010586957993431e-08,-7.412441161965589e-09,7.01058695874352e-08,-7.412278945630424e-09,7.010586912055286e-08,-6.518310146855779e-09,7.010586910638278e-08,-6.518161830907208e-09,7.010586912555892e-08,-6.518011559117825e-09
8.070053088641237e-08,2.967076456946823e-08,8.070053097232653e-08,2.967033132433302e-08,8.070053075328395e-08,2.966991678893212e-08,8.07005302280261e-08,2.858160776511581e-08,8.07005304277222e-08,2.858121758882998e-08,8.070053039007942e-08,2.858083173968003e-08,8.070052946669182e-08,2.682370013252124e-08,8.070052954677296e-08,2.682333921631971e-08,8.070052951604294e-08,2.682295542519083e-08
9.035026544320618e-08,2.68267461948401e-08,9.035026548616326e-08,2.682662878496186e-08,9.035026537664198e-08,2.682656697703335e-08,9.035026511401305e-08,2.519623864293358e-08,9.03502652138611e-08,2.519615040703109e-08,9.035026519503971e-08,2.51960845141007e-08,9.035026473334591e-08,2.455787018193173e-08,9.035026477338648e-08,2.455780582069747e-08,9.035026475802147e-08,2.45577363761142e-08
1e-07,4.593144038504823e-08,1e-07,4.593089036912518e-08,1e-07,4.593037016522957e-08,1e-07,4.403962236724708e-08,1e-07,4.403910606539769e-08,1e-07,4.403863782669775e-08,1e-07,4.155427764689671e-08,1e-07,4.155381098252419e-08,1e-07,4.155334232959576e-08
1.00025e-07,3.85950211829848e-08,1.00025e-07,3.859468226350637e-08,1.00025e-07,3.859438826297366e-08,1.00025e-07,3.671775669186128e-08,1.00025e-07,3.671744326993364e-08,1.00025e-07,3.671719113023716e-08,1.00025e-07,3.50532437910913e-08,1.00025e-07,3.505297993662276e-08,1.00025e-07,3.50527193387046e-08
1.000648360088907e-07,6.108824020021383e-08,1.000648360088907e-07,6.108728399085921e-08,1.000648360088907e-07,6.108637727316273e-08,1.000648360088909e-07,5.935095993339953e-08,1.00064836008891e-07,5.935003362290803e-08,1.00064836008891e-07,5.934917698887441e-08,1.000648360088911e-07,5.783144332568275e-08,1.000648360088911e-07,5.78305752835049e-08,1.000648360088911e-07,5.782971554687474e-08
1.000736270066681e-07,4.880521004721753e-07,1.000736270066681e-07,4.880386298028957e-07,1.000736270066681e-07,4.880252075799106e-07,1.000736270066682e-07,4.836400603366284e-07,1.000736270066682e-07,4.836268886558083e-07,1.000736270066682e-07,4.836137859967968e-07,1.000736270066683e-07,4.810652239993022e-07,1.000736270066683e-07,4.810523708454838e-07,1.000736270066683e-07,4.810395247206715e-07
1.00086558847036e-07,-1.423123366920193e-07,1.000865588470358e-07,-1.423032423546168e-07,1.000865588470359e-07,-1.422941019300178e-07,1.000865588470362e-07,-1.436533280119531e-07,1.000865588470361e-07,-1.436444233779858e-07,1.00086558847036e-07,-1.436354505491609e-07,1.000865590313504e-07,-1.490043402541629e-07,1.000865590313505e-07,-1.48995540450741e-07,1.000865590313507e-07,-1.489867394683073e-07
1.00093279423518e-07,-7.045694581118092e-06,1.000932794235179e-07,-7.045471222906865e-06,1.000932794235179e-07,-7.045247831818814e-06,1.000932794235181e-07,-7.012660195093145e-06,1.00093279423518e-07,-7.012441425565569e-06,1.00093279423518e-07,-7.012222602304782e-06,1.000932795156752e-07,-7.01459913586787e-06,1.000932795156752e-07,-7.014384566829746e-06,1.000932795156753e-07,-7.014170005848769e-06
1.00096639711759e-07,-1.428070283606203e-05,1.000966397117589e-07,-1.428026299127303e-05,1.00096639711759e-07,-1.427982312742091e-05,1.00096639711759e-07,-1.421566841912453e-05,1.00096639711759e-07,-1.421523739048071e-05,1.00096639711759e-07,-1.421480632140307e-05,1.000966397578376e-07,-1.419636930215517e-05,1.000966397578376e-07,-1.419594660951503e-05,1.000966397578377e-07,-1.4195523937455e-05
1.001e-07,-2.230636464737439e-05,1.001e-07,-2.230570060775539e-05,1.001e-07,-2.230503656219159e-05,1.001e-07,-2.22162506968004e-05,1.001e-07,-2.221559932220391e-05,1.001e-07,-2.221494791838512e-05,1.001e-07,-2.216722444494019e-05,1.001e-07,-2.216658535153984e-05,1.001e-07,-2.216594628873419e-05
1.001032789253842e-07,-2.897616094670136e-05,1.001032789253842e-07,-2.897533854254909e-05,1.001032789253842e-07,-2.897451613950182e-05,1.001032789253713e-07,-2.888452852351106e-05,1.001032789253713e-07,-2.888372061473776e-05,1.001032789253712e-07,-2.888291268433656e-05,1.001032789190636e-07,-2.882523311709498e-05,1.001032789190636e-07,-2.882443949631419e-05,1.001032789190636e-07,-2.882364591215736e-05
1.001073423781929e-07,-3.641397652897687e-05,1.001073423781929e-07,-3.641299274655537e-05,1.001073423781929e-07,-3.641200897085657e-05,1.001073423781757e-07,-3.633049388745485e-05,1.001073423781757e-07,-3.632952597784447e-05,1.001073423781756e-07,-3.63285580521261e-05,1.00107342347559e-07,-3.626711019668532e-05,1.00107342347559e-07,-3.626615820548493e-05,1.00107342347559e-07,-3.626520625718684e-05
