/A0 (Design_Point=1) X,/A0 (Design_Point=1) Y,/A1 (Design_Point=1) X,/A1 (Design_Point=1) Y,/Data_In_1 (Design_Point=1) X,/Data_In_1 (Design_Point=1) Y,/Data_In_2 (Design_Point=1) X,/Data_In_2 (Design_Point=1) Y,/Data_In_3 (Design_Point=1) X,/Data_In_3 (Design_Point=1) Y,/Data_In_4 (Design_Point=1) X,/Data_In_4 (Design_Point=1) Y,/EN (Design_Point=1) X,/EN (Design_Point=1) Y,/SAE (Design_Point=1) X,/SAE (Design_Point=1) Y,/WE (Design_Point=1) X,/WE (Design_Point=1) Y,/OA_Charge (Design_Point=1) X,/OA_Charge (Design_Point=1) Y,/IA_AnalogR1 (Design_Point=1) X,/IA_AnalogR1 (Design_Point=1) Y,/IA_AnalogR2 (Design_Point=1) X,/IA_AnalogR2 (Design_Point=1) Y,/IA_AnalogR3 (Design_Point=1) X,/IA_AnalogR3 (Design_Point=1) Y,/IA_AnalogR4 (Design_Point=1) X,/IA_AnalogR4 (Design_Point=1) Y,/Read_Out_1 (Design_Point=1) X,/Read_Out_1 (Design_Point=1) Y,/Read_Out_2 (Design_Point=1) X,/Read_Out_2 (Design_Point=1) Y,/Read_Out_3 (Design_Point=1) X,/Read_Out_3 (Design_Point=1) Y,/Read_Out_4 (Design_Point=1) X,/Read_Out_4 (Design_Point=1) Y
5.004645455504641e-08,0.5110000909863394,5.004645455504641e-08,-2.605774974215281e-09,5.004645455504641e-08,1.099999999999218,5.004645455504641e-08,1.099999999999218,5.004645455504641e-08,1.099999999999218,5.004645455504641e-08,1.099999999999218,5.004645455504641e-08,1.099999999953681,5.004645455504641e-08,1.429771401687329e-13,5.004645455504641e-08,1.099999999993687,5.004645455504641e-08,-1.147288761425889e-08,5.004645455504641e-08,2.960335478380458e-12,5.004645455504641e-08,2.851063611945978e-12,5.004645455504641e-08,2.864761186420654e-12,5.004645455504641e-08,2.867819405615695e-12,5.004645455504641e-08,1.099741529941202,5.004645455504641e-08,1.099741529941327,5.004645455504641e-08,1.09974152994128,5.004645455504641e-08,1.099741529941066
5.004970254612221e-08,0.5467279917493033,5.004970254612221e-08,-3.8022757951571e-09,5.004970254612221e-08,1.099999999999218,5.004970254612221e-08,1.099999999999218,5.004970254612221e-08,1.099999999999218,5.004970254612221e-08,1.099999999999218,5.004970254612221e-08,1.099999999926277,5.004970254612221e-08,3.293733354526844e-14,5.004970254612221e-08,1.099999999992832,5.004970254612221e-08,-1.251950653522608e-08,5.004970254612221e-08,2.531227652249637e-12,5.004970254612221e-08,2.900220130723215e-12,5.004970254612221e-08,2.826794393727165e-12,5.004970254612221e-08,2.816215100828832e-12,5.004970254612221e-08,1.099741520524288,5.004970254612221e-08,1.099741520524378,5.004970254612221e-08,1.099741520524327,5.004970254612221e-08,1.099741520524142
5.00561985282738e-08,0.6181837954499002,5.00561985282738e-08,-5.079644102829884e-09,5.00561985282738e-08,1.099999999999218,5.00561985282738e-08,1.099999999999218,5.00561985282738e-08,1.099999999999218,5.00561985282738e-08,1.099999999999218,5.00561985282738e-08,1.099999999934274,5.00561985282738e-08,1.420436402853977e-13,5.00561985282738e-08,1.099999999993669,5.00561985282738e-08,-1.016039812078017e-08,5.00561985282738e-08,3.025854817334991e-12,5.00561985282738e-08,2.809982099964158e-12,5.00561985282738e-08,2.896767305583523e-12,5.00561985282738e-08,2.923107105447534e-12,5.00561985282738e-08,1.099741504513329,5.00561985282738e-08,1.099741504513392,5.00561985282738e-08,1.099741504513408,5.00561985282738e-08,1.09974150451339
5.006089906323542e-08,0.6698896787679376,5.006089906323542e-08,-5.095730776509029e-09,5.006089906323542e-08,1.099999999999219,5.006089906323542e-08,1.099999999999219,5.006089906323542e-08,1.099999999999219,5.006089906323542e-08,1.099999999999219,5.006089906323542e-08,1.099999999978937,5.006089906323542e-08,4.102035003739648e-13,5.006089906323542e-08,1.09999999999564,5.006089906323542e-08,2.400935959995022e-08,5.006089906323542e-08,3.762531364429533e-12,5.006089906323542e-08,2.934576747250111e-12,5.006089906323542e-08,2.861127890216691e-12,5.006089906323542e-08,2.86479222694516e-12,5.006089906323542e-08,1.099741594491681,5.006089906323542e-08,1.099741594492917,5.006089906323542e-08,1.099741594491852,5.006089906323542e-08,1.099741594488274
5.006619500908618e-08,0.7281450837493877,5.006619500908618e-08,-7.1651247319058e-10,5.006619500908618e-08,1.099999999999221,5.006619500908618e-08,1.099999999999221,5.006619500908618e-08,1.099999999999221,5.006619500908618e-08,1.099999999999221,5.006619500908618e-08,1.100000000288168,5.006619500908618e-08,1.863710070425899e-12,5.006619500908618e-08,1.100000000005547,5.006619500908618e-08,1.924369962324663e-07,5.006619500908618e-08,7.814710148123093e-12,5.006619500908618e-08,2.94179745691592e-12,5.006619500908618e-08,3.268684247168927e-12,5.006619500908618e-08,3.072937139437129e-12,5.006619500908618e-08,1.099742147845585,5.006619500908618e-08,1.099742147851481,5.006619500908618e-08,1.099742147846187,5.006619500908618e-08,1.099742147828554
5.007147180509431e-08,0.7861898391526184,5.007147180509431e-08,2.867606924365935e-09,5.007147180509431e-08,1.099999999999224,5.007147180509431e-08,1.099999999999224,5.007147180509431e-08,1.099999999999224,5.007147180509431e-08,1.099999999999224,5.007147180509431e-08,1.100000000960951,5.007147180509431e-08,5.55879512624733e-12,5.007147180509431e-08,1.100000000029176,5.007147180509431e-08,7.046490245927053e-07,5.007147180509431e-08,1.540020208203754e-11,5.007147180509431e-08,3.356670454053599e-12,5.007147180509431e-08,6.1911909839542e-12,5.007147180509431e-08,3.21722514889206e-12,5.007147180509431e-08,1.099743910653413,5.007147180509431e-08,1.099743910670673,5.007147180509431e-08,1.09974391065782,5.007147180509431e-08,1.099743910611909
5.007550318667276e-08,0.8305350380267753,5.007550318667276e-08,3.406129742989488e-09,5.007550318667276e-08,1.099999999999242,5.007550318667276e-08,1.099999999999242,5.007550318667276e-08,1.099999999999242,5.007550318667276e-08,1.099999999999242,5.007550318667276e-08,1.100000001879628,5.007550318667276e-08,1.565788570660646e-11,5.007550318667276e-08,1.100000000098109,5.007550318667276e-08,1.854916033076665e-06,5.007550318667276e-08,4.696233493088515e-11,5.007550318667276e-08,4.032367327927039e-12,5.007550318667276e-08,4.711007782439423e-12,5.007550318667276e-08,4.11482996053448e-12,5.007550318667276e-08,1.099747911906914,5.007550318667276e-08,1.099747911954617,5.007550318667276e-08,1.099747911912353,5.007550318667276e-08,1.099747911770715
5.007991956454749e-08,0.8791151955642286,5.007991956454749e-08,6.163241231564021e-09,5.007991956454749e-08,1.099999999999114,5.007991956454749e-08,1.099999999999114,5.007991956454749e-08,1.099999999999114,5.007991956454749e-08,1.099999999999114,5.007991956454749e-08,1.10000000287024,5.007991956454749e-08,-1.188011683141949e-11,5.007991956454749e-08,1.099999999884653,5.007991956454749e-08,6.22541704998241e-07,5.007991956454749e-08,-3.723965925803669e-11,5.007991956454749e-08,2.231701627389152e-12,5.007991956454749e-08,-2.339217304623912e-11,5.007991956454749e-08,2.108825436902666e-12,5.007991956454749e-08,1.09974673922074,5.007991956454749e-08,1.099746739200398,5.007991956454749e-08,1.099746739175486,5.007991956454749e-08,1.099746739138959
5.008434617471052e-08,0.9278079099433552,5.008434617471052e-08,5.400277129955243e-09,5.008434617471052e-08,1.099999999998879,5.008434617471052e-08,1.099999999998879,5.008434617471052e-08,1.099999999998879,5.008434617471052e-08,1.099999999998879,5.008434617471052e-08,1.100000000627275,5.008434617471052e-08,-1.260088438921998e-10,5.008434617471052e-08,1.099999999033874,5.008434617471052e-08,-1.16312493892859e-05,5.008434617471052e-08,-3.614902575583252e-10,5.008434617471052e-08,-6.674459102935847e-12,5.008434617471052e-08,-5.574267174577976e-11,5.008434617471052e-08,-6.760880291597633e-12,5.008434617471052e-08,1.099710861188653,5.008434617471052e-08,1.099710860760453,5.008434617471052e-08,1.099710861059505,5.008434617471052e-08,1.099710862145692
5.008802646725149e-08,0.9682911283991107,5.008802646725149e-08,3.984956904790761e-09,5.008802646725149e-08,1.099999999998883,5.008802646725149e-08,1.099999999998883,5.008802646725149e-08,1.099999999998883,5.008802646725149e-08,1.099999999998883,5.008802646725149e-08,1.099999999025004,5.008802646725149e-08,-2.044446068043648e-10,5.008802646725149e-08,1.099999998451964,5.008802646725149e-08,-2.927569588638518e-05,5.008802646725149e-08,-6.91824330822636e-10,5.008802646725149e-08,-1.489339170981715e-11,5.008802646725149e-08,9.77935659543072e-11,5.008802646725149e-08,-1.490514787013844e-11,5.008802646725149e-08,1.099645425044702,5.008802646725149e-08,1.099645424145067,5.008802646725149e-08,1.099645425084669,5.008802646725149e-08,1.099645428062407
