"/OA_Charge (modelFiles=nom,VDD=1.1,temperature=27) X","/OA_Charge (modelFiles=nom,VDD=1.1,temperature=27) Y","/OA_Charge (modelFiles=l65sp_v132.lib.scs:ff_sp_lvt11,l65sp_v132.lib.scs:ff_65_momcaps,l65sp_v132.lib.scs:ff_sp_hvt11,VDD=1.21,temperature=-40) X","/OA_Charge (modelFiles=l65sp_v132.lib.scs:ff_sp_lvt11,l65sp_v132.lib.scs:ff_65_momcaps,l65sp_v132.lib.scs:ff_sp_hvt11,VDD=1.21,temperature=-40) Y","/OA_Charge (modelFiles=l65sp_v132.lib.scs:ss_65_momcaps,l65sp_v132.lib.scs:ss_sp_hvt11,l65sp_v132.lib.scs:ss_sp_lvt11,VDD=0.99,temperature=85) X","/OA_Charge (modelFiles=l65sp_v132.lib.scs:ss_65_momcaps,l65sp_v132.lib.scs:ss_sp_hvt11,l65sp_v132.lib.scs:ss_sp_lvt11,VDD=0.99,temperature=85) Y","/OA_Charge (modelFiles=l65sp_v132.lib.scs:fnsp_sp_hvt11,l65sp_v132.lib.scs:fnsp_sp_lvt11,l65sp_v132.lib.scs:tt_65_momcaps,VDD=1.1,temperature=27) X","/OA_Charge (modelFiles=l65sp_v132.lib.scs:fnsp_sp_hvt11,l65sp_v132.lib.scs:fnsp_sp_lvt11,l65sp_v132.lib.scs:tt_65_momcaps,VDD=1.1,temperature=27) Y"
nom,nom,ff,ff,ss,ss,fnsp,fnsp
5.035868632274491e-08,-4.599334245850212e-06,5.015677608203425e-08,2.005809241569e-05,5.031495136498668e-08,1.829326126392265e-05,5.033531828910874e-08,-4.61416195091422e-06
5.041319293542478e-08,-2.820563737283221e-06,5.017844694807858e-08,1.518290446360083e-05,5.036113868442767e-08,1.256244322764444e-05,5.040483360605636e-08,-3.961288529044567e-06
5.047546540984498e-08,-1.085799763331697e-06,5.020189129014904e-08,4.277653530872094e-06,5.040577260362466e-08,4.837278381776352e-06,5.046812242414015e-08,-2.007039313341498e-06
5.055284774779846e-08,-3.049329680288298e-07,5.022486154861875e-08,-2.788592122837088e-06,5.045804790886773e-08,-1.423181613662917e-06,5.054178904067134e-08,-8.96692644481436e-07
5.066008555445243e-08,-9.258164849719605e-08,5.025261631937312e-08,-4.98695425515735e-06,5.053293029447231e-08,-4.249213799033535e-06,5.063139379977609e-08,-5.068352807891927e-07
5.08317052304452e-08,-9.62073654139718e-08,5.028861954294639e-08,-3.623787281026423e-06,5.062286171581449e-08,-3.049410998763025e-06,5.077051115300993e-08,-4.023550070993534e-07
5.113677366138498e-08,-8.248258306380762e-08,5.0329649407554e-08,-1.542637932399559e-06,5.071822518397375e-08,-1.353181115895296e-06,5.09965222559952e-08,-3.870751785910381e-07
5.17288785966613e-08,-9.536132540997418e-08,5.03810832613229e-08,-4.198884320798411e-07,5.083223616157438e-08,-3.784348998589525e-07,5.14454343974634e-08,-3.362732108138298e-07
5.257174470254875e-08,-7.79961406299414e-08,5.044997020868909e-08,-1.048603991703555e-07,5.098411779652119e-08,-4.655739686977043e-08,5.219569986864002e-08,-2.592069544549346e-07
5.383324951457686e-08,-8.376130849216461e-08,5.05575261577939e-08,-4.507939375786918e-08,5.121914783250513e-08,-3.676784118828371e-09,5.326606561352202e-08,-1.705003621013583e-07
5.57001807429969e-08,-5.759538735796866e-08,5.074549963160378e-08,-6.574428598954538e-08,5.162597573541323e-08,-5.493380648111929e-09,5.484236265036305e-08,-7.399286838010822e-08
5.861133185679757e-08,-5.373425007535683e-08,5.112144657922354e-08,-8.831573748096503e-09,5.243963154122942e-08,-2.92795942857275e-09,5.738009721129754e-08,2.045958212640799e-08
6.322056512014246e-08,-1.762807713391763e-08,5.167180622494578e-08,6.366995158712602e-09,5.360252265753499e-08,-3.836043131163463e-09,6.104429989776408e-08,8.988748596654886e-08
7.010586957993431e-08,-7.412441161965589e-09,5.249548931268013e-08,9.089461111708992e-08,5.526598123062202e-08,-2.851684932594041e-10,6.714181419251588e-08,1.295802777320228e-07
8.07005304277222e-08,2.858121758882998e-08,5.372751081871479e-08,1.322753519471786e-07,5.76640308072525e-08,2.358942297152284e-09,7.55178232710501e-08,1.445389918155777e-07
