marker,signal,sample_time_ns,variable_group,sampled_v,header_label,umc_mc_dvth0_n_splvt,umc_mc_dvth0_p_splvt,umc_mc_dvth0_n_sphvt,umc_mc_dvth0_p_sphvt
dvth0_grid,/OA_Charge,200.25,dvth0_grid,0.7555997666165464,"/OA_Charge (umc_mc_dvth0_n_splvt=-0.009,umc_mc_dvth0_p_splvt=0,umc_mc_dvth0_n_sphvt=0.006,umc_mc_dvth0_p_sphvt=0.006)",-0.009,0.0,0.006,0.006
dvth0_grid,/OA_Charge,200.25,dvth0_grid,0.7560093975614239,"/OA_Charge (umc_mc_dvth0_n_splvt=-0.009,umc_mc_dvth0_p_splvt=0.006,umc_mc_dvth0_n_sphvt=-0.006,umc_mc_dvth0_p_sphvt=-0.006)",-0.009,0.006,-0.006,-0.006
dvth0_grid,/OA_Charge,200.25,dvth0_grid,0.7559958755122737,"/OA_Charge (umc_mc_dvth0_n_splvt=-0.009,umc_mc_dvth0_p_splvt=0.006,umc_mc_dvth0_n_sphvt=-0.006,umc_mc_dvth0_p_sphvt=0)",-0.009,0.006,-0.006,0.0
dvth0_grid,/OA_Charge,200.25,dvth0_grid,0.7559856748682873,"/OA_Charge (umc_mc_dvth0_n_splvt=-0.009,umc_mc_dvth0_p_splvt=0.006,umc_mc_dvth0_n_sphvt=-0.006,umc_mc_dvth0_p_sphvt=0.006)",-0.009,0.006,-0.006,0.006
dvth0_grid,/OA_Charge,200.25,dvth0_grid,0.7560093975614239,"/OA_Charge (umc_mc_dvth0_n_splvt=-0.009,umc_mc_dvth0_p_splvt=0.006,umc_mc_dvth0_n_sphvt=0,umc_mc_dvth0_p_sphvt=-0.006)",-0.009,0.006,0.0,-0.006
dvth0_grid,/OA_Charge,200.25,dvth0_grid,0.7559958755122737,"/OA_Charge (umc_mc_dvth0_n_splvt=-0.009,umc_mc_dvth0_p_splvt=0.006,umc_mc_dvth0_n_sphvt=0,umc_mc_dvth0_p_sphvt=0)",-0.009,0.006,0.0,0.0
dvth0_grid,/OA_Charge,200.25,dvth0_grid,0.7559856748682873,"/OA_Charge (umc_mc_dvth0_n_splvt=-0.009,umc_mc_dvth0_p_splvt=0.006,umc_mc_dvth0_n_sphvt=0,umc_mc_dvth0_p_sphvt=0.006)",-0.009,0.006,0.0,0.006
dvth0_grid,/OA_Charge,200.25,dvth0_grid,0.7560093975614239,"/OA_Charge (umc_mc_dvth0_n_splvt=-0.009,umc_mc_dvth0_p_splvt=0.006,umc_mc_dvth0_n_sphvt=0.006,umc_mc_dvth0_p_sphvt=-0.006)",-0.009,0.006,0.006,-0.006
dvth0_grid,/OA_Charge,200.25,dvth0_grid,0.7559958755122737,"/OA_Charge (umc_mc_dvth0_n_splvt=-0.009,umc_mc_dvth0_p_splvt=0.006,umc_mc_dvth0_n_sphvt=0.006,umc_mc_dvth0_p_sphvt=0)",-0.009,0.006,0.006,0.0
dvth0_grid,/OA_Charge,200.25,dvth0_grid,0.7559856748682873,"/OA_Charge (umc_mc_dvth0_n_splvt=-0.009,umc_mc_dvth0_p_splvt=0.006,umc_mc_dvth0_n_sphvt=0.006,umc_mc_dvth0_p_sphvt=0.006)",-0.009,0.006,0.006,0.006
dvth0_grid,/OA_Charge,200.25,dvth0_grid,0.7550346291129091,"/OA_Charge (umc_mc_dvth0_n_splvt=0,umc_mc_dvth0_p_splvt=-0.006,umc_mc_dvth0_n_sphvt=-0.006,umc_mc_dvth0_p_sphvt=-0.006)",0.0,-0.006,-0.006,-0.006
dvth0_grid,/OA_Charge,200.25,dvth0_grid,0.7550554441031789,"/OA_Charge (umc_mc_dvth0_n_splvt=0,umc_mc_dvth0_p_splvt=-0.006,umc_mc_dvth0_n_sphvt=-0.006,umc_mc_dvth0_p_sphvt=0)",0.0,-0.006,-0.006,0.0
dvth0_grid,/OA_Charge,200.25,dvth0_grid,0.7550763338548618,"/OA_Charge (umc_mc_dvth0_n_splvt=0,umc_mc_dvth0_p_splvt=-0.006,umc_mc_dvth0_n_sphvt=-0.006,umc_mc_dvth0_p_sphvt=0.006)",0.0,-0.006,-0.006,0.006
